site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,seed,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,4.0,blocks.7/pre_gelu,0.08791468789219818,85.02,97.498,85.026,97.516,43,True,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.8/pre_gelu,0.04496478419134613,85.02,97.498,85.026,97.516,43,True,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.9/pre_gelu,0.03387948527605847,85.02,97.498,85.026,97.516,43,True,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.0/pre_gelu,0.0020017069670554967,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.1/pre_gelu,0.0022982840273657167,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.10/pre_gelu,0.007143783620479779,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.11/pre_gelu,0.0054401163196163204,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.2/pre_gelu,0.000879232063530916,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.3/pre_gelu,0.002336057755864113,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.4/pre_gelu,0.004398943559272433,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.5/pre_gelu,0.003855128713493126,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.6/pre_gelu,0.0023322840141544246,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
pre_gelu,6.0,blocks.7/pre_gelu,0.003851034710320848,84.584,97.408,85.026,97.516,43,False,global,outlier,[],[],[],[]
